# 'water_0_30.h5', 'cement_0_30.h5', 'Asphalt_0_30.h5', 'Asphaltwet_0_30.h5', 'roadgravel_0_30.h5', 'grass_0_30.h5', 'Roughgravel_0_30.h5'
5.884905660377358316e+01,5.914018691588785259e+01,7.354716981132075659e+01,5.346788990825687904e+01,8.596190476190476204e+01,9.142056074766355778e+01,8.976699029126213247e+01
5.798113207547169878e+01,5.861682242990654146e+01,7.343396226415094930e+01,5.297247706422018609e+01,8.592380952380952408e+01,9.142056074766355778e+01,8.949514563106795606e+01
5.683018867924528195e+01,5.828037383177569808e+01,7.294339622641508925e+01,5.251376146788990695e+01,8.540952380952380452e+01,9.151401869158878810e+01,8.943689320388349984e+01
5.569811320754716633e+01,5.781308411214953225e+01,7.256603773584905070e+01,5.166972477064220470e+01,8.476190476190475920e+01,9.153271028037383417e+01,8.914563106796116188e+01
5.435849056603773732e+01,5.725233644859812898e+01,7.224528301886792292e+01,5.106422018348624192e+01,8.453333333333333144e+01,9.170093457943924875e+01,8.904854368932038255e+01
5.318867924528301927e+01,5.667289719626167965e+01,7.145283018867924341e+01,5.005504587155963492e+01,8.447619047619048160e+01,9.168224299065420269e+01,8.893203883495145590e+01
5.220754716981132049e+01,5.624299065420560595e+01,7.113207547169811562e+01,4.977981651376146743e+01,8.430476190476190368e+01,9.173831775700934088e+01,8.883495145631067658e+01
5.090566037735849392e+01,5.596261682242990787e+01,7.043396226415094930e+01,4.926605504587156048e+01,8.430476190476190368e+01,9.194392523364486181e+01,8.885436893203883812e+01
4.979245283018867951e+01,5.579439252336448618e+01,7.026415094339623124e+01,4.869724770642201861e+01,8.388571428571428612e+01,9.224299065420561305e+01,8.871844660194174992e+01
4.864150943396226268e+01,5.571962616822430192e+01,6.986792452830188438e+01,4.836697247706422331e+01,8.382857142857142208e+01,9.237383177570093551e+01,8.827184466019417641e+01
4.700000000000000000e+01,5.568224299065420269e+01,6.943396226415094930e+01,4.812844036697247674e+01,8.379047619047618412e+01,9.237383177570093551e+01,8.809708737864077932e+01
4.594339622641509635e+01,5.549532710280373493e+01,6.913207547169811562e+01,4.783486238532110235e+01,8.371428571428570820e+01,9.237383177570093551e+01,8.782524271844660291e+01
4.479245283018867951e+01,5.540186915887850461e+01,6.875471698113207708e+01,4.741284403669725123e+01,8.346666666666666856e+01,9.278504672897196315e+01,8.763106796116504427e+01
4.373584905660377586e+01,5.525233644859812898e+01,6.830188679245283367e+01,4.730275229357798139e+01,8.339047619047619264e+01,9.278504672897196315e+01,8.739805825242719095e+01
4.252830188679245538e+01,5.523364485981308292e+01,6.794339622641508925e+01,4.719266055045871866e+01,8.323809523809524080e+01,9.278504672897196315e+01,8.718446601941747076e+01
4.135849056603773732e+01,5.523364485981308292e+01,6.762264150943396146e+01,4.713761467889908374e+01,8.295238095238094900e+01,9.295327102803737773e+01,8.714563106796116188e+01
3.998113207547169878e+01,5.514018691588785259e+01,6.690566037735848681e+01,4.706422018348624192e+01,8.274285714285714732e+01,9.295327102803737773e+01,8.708737864077670565e+01
