# 'RoadGravel_0_0.h5', 'Cement_0_0.h5', 'RoughGravel_0_0.h5', 'Asphalt_0_0.h5', 'Grass_0_0.h5', 'Puddle_0_0.h5', 'AsphaltWet_0_0.h5'
4.728301886792452535e+01,4.138317757009345854e+01,8.563809523809523228e+01,7.214678899082568364e+01,8.561467889908256268e+01,1.367924528301886866e+01,4.540384615384615330e+01
4.728301886792452535e+01,4.312149532710280653e+01,8.580952380952381020e+01,7.198165137614678599e+01,8.581651376146788834e+01,1.367924528301886866e+01,4.540384615384615330e+01
4.726415094339622414e+01,4.487850467289719347e+01,8.579047619047618412e+01,7.165137614678899070e+01,8.590825688073394417e+01,1.367924528301886866e+01,4.538461538461538680e+01
4.726415094339622414e+01,4.663551401869158752e+01,8.565714285714285836e+01,7.148623853211009305e+01,8.622018348623852546e+01,1.371698113207547109e+01,4.538461538461538680e+01
4.718867924528301927e+01,4.848598130841121190e+01,8.544761904761904248e+01,7.126605504587155338e+01,8.675229357798164642e+01,1.383018867924528372e+01,4.544230769230769340e+01
4.718867924528301927e+01,5.024299065420560595e+01,8.535238095238095468e+01,7.071559633027523262e+01,8.722935779816513957e+01,1.373584905660377409e+01,4.546153846153845990e+01
4.728301886792452535e+01,5.228037383177569808e+01,8.535238095238095468e+01,7.027522935779816748e+01,8.796330275229357198e+01,1.343396226415094397e+01,4.546153846153845990e+01
4.728301886792452535e+01,5.428037383177569808e+01,8.516190476190476488e+01,7.000000000000000000e+01,8.899082568807340010e+01,1.305660377358490543e+01,4.546153846153845990e+01
4.737735849056603854e+01,5.635514018691588944e+01,8.493333333333333712e+01,6.979816513761467434e+01,8.998165137614678599e+01,1.283018867924528372e+01,4.544230769230769340e+01
4.749056603773584584e+01,5.850467289719626507e+01,8.474285714285714732e+01,6.948623853211009305e+01,9.099082568807340010e+01,1.188679245283018915e+01,4.544230769230769340e+01
4.749056603773584584e+01,6.067289719626167965e+01,8.460952380952380736e+01,6.944954128440366503e+01,9.196330275229357198e+01,1.090566037735849036e+01,4.544230769230769340e+01
4.747169811320754462e+01,6.306542056074766123e+01,8.455238095238095752e+01,6.919266055045871155e+01,9.346788990825687904e+01,1.015094339622641506e+01,4.540384615384615330e+01
4.747169811320754462e+01,6.543925233644860384e+01,8.455238095238095752e+01,6.888073394495413027e+01,9.491743119266054407e+01,9.452830188679245182e+00,4.540384615384615330e+01
4.747169811320754462e+01,6.824299065420561305e+01,8.422857142857142776e+01,6.871559633027523262e+01,9.647706422018349315e+01,8.735849056603774088e+00,4.540384615384615330e+01
4.775471698113207708e+01,7.140186915887851171e+01,8.422857142857142776e+01,6.864220183486239080e+01,9.818348623853211166e+01,8.339622641509434331e+00,4.540384615384615330e+01
4.777358490566037830e+01,7.491588785046728560e+01,8.417142857142857792e+01,6.847706422018349315e+01,9.966972477064220470e+01,8.490566037735849392e+00,4.540384615384615330e+01
4.796226415094339757e+01,7.844859813084111977e+01,8.409523809523810201e+01,6.840366972477063712e+01,1.013944954128440372e+02,8.943396226415094574e+00,4.550000000000000000e+01
4.822641509433962170e+01,8.237383177570093551e+01,8.413333333333333997e+01,6.822018348623852546e+01,1.032477064220183536e+02,9.735849056603774088e+00,4.555769230769230660e+01
4.849056603773584584e+01,8.635514018691588944e+01,8.401904761904762609e+01,6.825688073394495348e+01,1.051743119266054975e+02,1.105660377358490543e+01,4.555769230769230660e+01
4.896226415094339757e+01,9.037383177570093551e+01,8.398095238095237391e+01,6.825688073394495348e+01,1.070091743119265999e+02,1.328301886792452891e+01,4.594230769230769340e+01
